 arcs[57].from = 41, arcs[57].to = 53, arcs[57].capacity = 20, arcs[57].cost = 0, arcs[57].flow = 0, arcs[57].mate = 209, 
 arcs[58].from = 42, arcs[58].to = 58, arcs[58].capacity = 5, arcs[58].cost = 0, arcs[58].flow = 0, arcs[58].mate = 210, 
 arcs[59].from = 42, arcs[59].to = 49, arcs[59].capacity = 15, arcs[59].cost = 0, arcs[59].flow = 0, arcs[59].mate = 211, 
 arcs[60].from = 42, arcs[60].to = 60, arcs[60].capacity = 5, arcs[60].cost = 0, arcs[60].flow = 0, arcs[60].mate = 212, 
 arcs[61].from = 43, arcs[61].to = 65, arcs[61].capacity = 8, arcs[61].cost = 0, arcs[61].flow = 0, arcs[61].mate = 213, 
 arcs[62].from = 44, arcs[62].to = 50, arcs[62].capacity = 12, arcs[62].cost = 0, arcs[62].flow = 0, arcs[62].mate = 214, 
 arcs[63].from = 46, arcs[63].to = 67, arcs[63].capacity = 10, arcs[63].cost = 0, arcs[63].flow = 0, arcs[63].mate = 215, 
 arcs[64].from = 46, arcs[64].to = 58, arcs[64].capacity = 20, arcs[64].cost = 0, arcs[64].flow = 0, arcs[64].mate = 216, 
 arcs[65].from = 47, arcs[65].to = 63, arcs[65].capacity = 5, arcs[65].cost = 0, arcs[65].flow = 0, arcs[65].mate = 217, 
 arcs[66].from = 47, arcs[66].to = 54, arcs[66].capacity = 15, arcs[66].cost = 0, arcs[66].flow = 0, arcs[66].mate = 218, 
 arcs[67].from = 47, arcs[67].to = 65, arcs[67].capacity = 5, arcs[67].cost = 0, arcs[67].flow = 0, arcs[67].mate = 219, 
 arcs[68].from = 48, arcs[68].to = 70, arcs[68].capacity = 8, arcs[68].cost = 0, arcs[68].flow = 0, arcs[68].mate = 220, 
 arcs[69].from = 49, arcs[69].to = 55, arcs[69].capacity = 12, arcs[69].cost = 0, arcs[69].flow = 0, arcs[69].mate = 221, 
 arcs[70].from = 51, arcs[70].to = 72, arcs[70].capacity = 10, arcs[70].cost = 0, arcs[70].flow = 0, arcs[70].mate = 222, 
 arcs[71].from = 51, arcs[71].to = 63, arcs[71].capacity = 20, arcs[71].cost = 0, arcs[71].flow = 0, arcs[71].mate = 223, 
 arcs[72].from = 52, arcs[72].to = 68, arcs[72].capacity = 5, arcs[72].cost = 0, arcs[72].flow = 0, arcs[72].mate = 224, 
 arcs[73].from = 52, arcs[73].to = 59, arcs[73].capacity = 15, arcs[73].cost = 0, arcs[73].flow = 0, arcs[73].mate = 225, 
 arcs[74].from = 52, arcs[74].to = 70, arcs[74].capacity = 5, arcs[74].cost = 0, arcs[74].flow = 0, arcs[74].mate = 226, 
 arcs[75].from = 53, arcs[75].to = 75, arcs[75].capacity = 8, arcs[75].cost = 0, arcs[75].flow = 0, arcs[75].mate = 227, 
